T,model,modality,eval_type,accuracy_mean,accuracy_std,precision_mean,recall_mean,f1_mean
1,SVM,stat,cross_validation,0.96,0.07999999999999999,1.0,0.9333333333333332,0.96
1,SVM,stat,80_20_split,0.8,0.0,1.0,0.6666666666666666,0.8
1,RF,stat,cross_validation,1.0,0.0,1.0,1.0,1.0
1,RF,stat,80_20_split,1.0,0.0,1.0,1.0,1.0
1,kNN,stat,cross_validation,1.0,0.0,1.0,1.0,1.0
1,kNN,stat,80_20_split,1.0,0.0,1.0,1.0,1.0
1,SVM,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
1,SVM,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
1,RF,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
1,RF,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
1,kNN,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
1,kNN,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
1,CNN,mel_spec,cross_validation,0.96,0.07999999999999999,1.0,0.9333333333333332,0.96
1,CNN,mel_spec,80_20_split,1.0,0.0,1.0,1.0,1.0
1,CNN,mfcc,cross_validation,0.76,0.19595917942265426,0.76,1.0,0.85
1,CNN,mfcc,80_20_split,0.6,0.0,0.6,1.0,0.75
1,CNN,wavelet_scalo,cross_validation,0.96,0.07999999999999999,1.0,0.9333333333333332,0.96
1,CNN,wavelet_scalo,80_20_split,0.8,0.0,1.0,0.6666666666666666,0.8
1,CNN,stft,cross_validation,1.0,0.0,1.0,1.0,1.0
1,CNN,stft,80_20_split,1.0,0.0,1.0,1.0,1.0
2,SVM,stat,cross_validation,1.0,0.0,1.0,1.0,1.0
2,SVM,stat,80_20_split,1.0,0.0,1.0,1.0,1.0
2,RF,stat,cross_validation,1.0,0.0,1.0,1.0,1.0
2,RF,stat,80_20_split,1.0,0.0,1.0,1.0,1.0
2,kNN,stat,cross_validation,1.0,0.0,1.0,1.0,1.0
2,kNN,stat,80_20_split,1.0,0.0,1.0,1.0,1.0
2,SVM,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
2,SVM,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
2,RF,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
2,RF,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
2,kNN,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
2,kNN,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
2,CNN,mel_spec,cross_validation,1.0,0.0,1.0,1.0,1.0
2,CNN,mel_spec,80_20_split,1.0,0.0,1.0,1.0,1.0
2,CNN,mfcc,cross_validation,0.625,0.0721687836487032,0.625,1.0,0.7666666666666667
2,CNN,mfcc,80_20_split,1.0,0.0,1.0,1.0,1.0
2,CNN,wavelet_scalo,cross_validation,1.0,0.0,1.0,1.0,1.0
2,CNN,wavelet_scalo,80_20_split,1.0,0.0,1.0,1.0,1.0
2,CNN,stft,cross_validation,0.9166666666666666,0.14433756729740646,1.0,0.875,0.9166666666666666
2,CNN,stft,80_20_split,1.0,0.0,1.0,1.0,1.0
4,SVM,stat,cross_validation,1.0,0.0,1.0,1.0,1.0
4,SVM,stat,80_20_split,1.0,0.0,1.0,1.0,1.0
4,RF,stat,cross_validation,0.75,0.25,0.5,0.5,0.5
4,RF,stat,80_20_split,0.75,0.0,0.5,0.5,0.5
4,kNN,stat,cross_validation,,,,,
4,kNN,stat,80_20_split,,0.0,,,
4,SVM,wavelet,cross_validation,1.0,0.0,1.0,1.0,1.0
4,SVM,wavelet,80_20_split,1.0,0.0,1.0,1.0,1.0
4,RF,wavelet,cross_validation,0.75,0.25,0.5,0.5,0.5
4,RF,wavelet,80_20_split,0.75,0.0,0.5,0.5,0.5
4,kNN,wavelet,cross_validation,,,,,
4,kNN,wavelet,80_20_split,,0.0,,,
4,CNN,mel_spec,cross_validation,0.5833333333333333,0.08333333333333331,0.5833333333333333,1.0,0.7333333333333334
4,CNN,mel_spec,80_20_split,0.5833333333333333,0.0,0.5833333333333333,1.0,0.7333333333333334
4,CNN,mfcc,cross_validation,0.5833333333333333,0.08333333333333331,0.5833333333333333,1.0,0.7333333333333334
4,CNN,mfcc,80_20_split,0.5833333333333333,0.0,0.5833333333333333,1.0,0.7333333333333334
4,CNN,wavelet_scalo,cross_validation,0.5833333333333333,0.08333333333333331,0.5833333333333333,1.0,0.7333333333333334
4,CNN,wavelet_scalo,80_20_split,0.5833333333333333,0.0,0.5833333333333333,1.0,0.7333333333333334
4,CNN,stft,cross_validation,0.5833333333333333,0.08333333333333331,0.5833333333333333,1.0,0.7333333333333334
4,CNN,stft,80_20_split,0.5833333333333333,0.0,0.5833333333333333,1.0,0.7333333333333334
