user,n_segments,accuracy,macro_f1,weighted_f1,f1_Tortilla,f1_Fruit,f1_Chicken,f1_Cracker,f1_Carrot,f1_Chocolate,f1_Yogurt,f1_Noodles,f1_Water,f1_Soft Drink
001,812,0.9335,0.5861,0.9392,0.0,0.917,0.0,0.0,0.0,0.9503,0.9249,0.0,0.9471,0.9496
002,1218,0.8892,0.6577,0.8908,0.0,0.8257,0.0,0.8917,0.0,0.8264,0.0,0.9518,0.8916,0.8746
003,986,0.9067,0.6823,0.9074,0.0,0.9649,0.0,0.8797,0.0,0.8134,0.0,0.9165,0.9322,0.9515
004,754,0.9403,0.5908,0.9466,0.0,0.9397,0.0,0.9419,0.0,0.9251,0.0,0.9552,0.0,0.9646
005,928,0.972,0.8121,0.973,0.0,0.0,0.0,0.9609,0.0,0.9957,0.9623,0.9795,0.0,0.9741
006,986,0.9341,0.7057,0.9359,0.0,0.0,0.0,0.9328,0.907,0.9784,0.9392,0.0,0.962,0.9264
007,406,0.734,0.5723,0.7443,0.0,0.7906,0.0,0.0,0.7672,0.7167,0.0,0.0,0.5872,0.0
008,870,0.6057,0.3188,0.6143,0.0,0.0,0.0,0.0,0.7328,0.0,0.4871,0.0,0.4108,0.6006
009,812,0.6293,0.316,0.6264,0.0,0.0,0.0,0.0,0.6735,0.0,0.6577,0.5285,0.6681,0.0
010,1102,0.6815,0.4706,0.6734,0.0,0.4027,0.7713,0.0,0.6467,0.4694,0.5038,0.8091,0.6329,0.0
011,290,0.5759,0.1669,0.5515,0.0,0.0,0.0,0.0,0.0,0.2588,0.711,0.0,0.3656,0.0
012,638,0.6567,0.3832,0.6564,0.0,0.0,0.0,0.0,0.0,0.7857,0.6384,0.7036,0.767,0.1707
013,812,0.6404,0.4266,0.6214,0.0,0.0,0.0,0.7094,0.5988,0.2803,0.7474,0.0,0.6506,0.0
014,464,0.5927,0.2968,0.5937,0.0,0.0,0.0,0.0,0.0,0.5279,0.6372,0.5333,0.0,0.6762
015,464,0.6616,0.3662,0.6681,0.8368,0.0,0.0,0.7004,0.0,0.6869,0.0,0.5116,0.56,0.0
016,696,0.7859,0.5152,0.796,0.0,0.7241,0.8182,0.0,0.8106,0.0,0.8262,0.8151,0.6429,0.0
017,870,0.7678,0.66,0.77,0.0,0.6848,0.9532,0.8047,0.0,0.7581,0.6717,0.7961,0.0,0.6111
018,870,0.4874,0.3642,0.4308,0.0,0.0,0.0,0.5173,0.0219,0.6293,0.6408,0.0,0.2823,0.4578
019,1160,0.8147,0.5146,0.799,0.0,0.0,0.0,0.8759,0.7495,0.1875,0.9098,0.0,0.5714,0.8223
020,986,0.5548,0.3626,0.5424,0.0,0.0,0.0,0.6409,0.5648,0.0,0.5649,0.0,0.528,0.2394
