model,feature,eval,accuracy,acc_std,precision,recall,f1
SVM,statistical,CV,0.9653,0.0,0.9653,1.0,0.9823
SVM,statistical,80/20,0.9653,0.0,0.9653,1.0,0.9823
RF,statistical,CV,0.9812,0.0019,0.9847,0.996,0.9903
RF,statistical,80/20,0.9836,0.0,0.9842,0.9991,0.9915
kNN,statistical,CV,0.9737,0.0016,0.9855,0.9873,0.9864
kNN,statistical,80/20,0.9781,0.0,0.9877,0.9896,0.9887
SVM,wavelet_DWT,CV,0.9653,0.0,0.9653,1.0,0.9823
SVM,wavelet_DWT,80/20,0.9653,0.0,0.9653,1.0,0.9823
RF,wavelet_DWT,CV,0.9852,0.0032,0.9867,0.9981,0.9924
RF,wavelet_DWT,80/20,0.99,0.0,0.9915,0.9981,0.9948
kNN,wavelet_DWT,CV,0.9848,0.0035,0.9937,0.9905,0.9921
kNN,wavelet_DWT,80/20,0.9872,0.0,0.9943,0.9924,0.9934
CNN,mel_spectrogram,CV,0.9653,0.0,0.9653,1.0,0.9823
CNN,mel_spectrogram,80/20,0.9991,0.0,0.9991,1.0,0.9995
CNN,MFCC,CV,0.9653,0.0,0.9653,1.0,0.9823
CNN,MFCC,80/20,0.9982,0.0,0.9991,0.9991,0.9991
CNN,wavelet_CWT,CV,0.9653,0.0,0.9653,1.0,0.9823
CNN,wavelet_CWT,80/20,0.9973,0.0,1.0,0.9972,0.9986
CNN,STFT,CV,0.9653,0.0,0.9653,1.0,0.9823
CNN,STFT,80/20,1.0,0.0,1.0,1.0,1.0
