tag,model,threshold,acc,precision,recall,f1
41p_t0.5,CNN-STFT,0.5,0.9068,0.9276,0.9653,0.9461
41p_t0.6,CNN-STFT,0.6,0.9023,0.9314,0.9549,0.943
41p_t0.7,CNN-STFT,0.7,0.892,0.934,0.9387,0.9364
20p_t0.5,CNN-STFT,0.5,0.8827,0.8942,0.958,0.925
41p,RF,—,0.8359,0.8848,0.9269,0.9054
41p,SVM,—,0.7797,0.8755,0.8625,0.8689
20p,RF,—,0.7784,0.8154,0.9133,0.8616
20p,SVM,—,0.743,0.8054,0.87,0.8364
20p_t0.6,CNN-STFT,0.6,0.7776,0.9439,0.7501,0.8359
20p_t0.7,CNN-STFT,0.7,0.7742,0.9474,0.7422,0.8323
41p_t0.8,CNN-STFT,0.8,0.7449,0.969,0.7217,0.8273
20p_t0.8,CNN-STFT,0.8,0.7695,0.9528,0.7309,0.8273
41p_t0.5,CNN-Multi,0.5,0.7215,0.8723,0.7861,0.827
20p_t0.9,CNN-STFT,0.9,0.7595,0.9601,0.711,0.817
41p_t0.9,CNN-STFT,0.9,0.7088,0.9753,0.673,0.7965
20p_t0.5,CNN-Multi,0.5,0.6542,0.8009,0.7216,0.7592
20p_t0.6,CNN-Multi,0.6,0.3798,0.9608,0.1864,0.3122
20p_t0.7,CNN-Multi,0.7,0.3796,0.9666,0.1849,0.3104
20p_t0.8,CNN-Multi,0.8,0.3791,0.9694,0.1836,0.3088
20p_t0.9,CNN-Multi,0.9,0.3784,0.9735,0.1819,0.3065
41p_t0.6,CNN-Multi,0.6,0.2849,0.9628,0.1617,0.2769
41p_t0.7,CNN-Multi,0.7,0.2705,0.9647,0.1436,0.25
41p_t0.8,CNN-Multi,0.8,0.2539,0.9662,0.1231,0.2184
41p_t0.9,CNN-Multi,0.9,0.2334,0.9641,0.0983,0.1783
