model,feature,fold,accuracy,precision,recall,f1
RF,combined,0,0.8252155957731082,0.876187852912822,0.9217618081715445,0.8983972322248112
RF,combined,1,0.8527347531461762,0.8771837646131617,0.9594827586206897,0.9164893982021547
RF,combined,2,0.8227180040782056,0.8842668863261944,0.9102600339174675,0.897075208913649
RF,combined,3,0.807419005178851,0.8951089308902034,0.8767665347654042,0.8858427928892697
RF,combined,4,0.8719660194174758,0.8917356457758507,0.9670846394984326,0.9278829721785494
SVM,combined,0,0.6727802745050407,0.8691228070175439,0.7177629672558679,0.7862244088239962
SVM,combined,1,0.7481848983543078,0.8866698367411634,0.8037356321839081,0.8431682869847011
SVM,combined,2,0.7920115149334293,0.8936044798113764,0.8569813453928773,0.874909825422017
SVM,combined,3,0.6804769360472118,0.8921794644440504,0.7109949123798757,0.7913488006291781
SVM,combined,4,0.7479368932038835,0.8947116152740054,0.7979481333713309,0.8435640581456655
kNN,combined,0,0.638284950807725,0.8436077057793345,0.6979136482179078,0.7638756739613067
kNN,combined,1,0.7054695062923524,0.8617327365728901,0.7745689655172414,0.8158292978208233
kNN,combined,2,0.7332373755547559,0.8670196671709531,0.8099208592425099,0.8374981733157971
kNN,combined,3,0.6276044803083223,0.8524416135881104,0.6808931599773883,0.757071024512885
kNN,combined,4,0.6962378640776699,0.8673718470301057,0.7594756340837846,0.8098457798374231
RF,wavelet,0,0.8403983966962225,0.9075262543757293,0.9014778325123153,0.9044919319668556
RF,wavelet,1,0.8529767666989352,0.9063516763332862,0.9205459770114942,0.9133936845106565
RF,wavelet,2,0.8127623845507976,0.9060521278162273,0.8695590729225551,0.8874305906108026
RF,wavelet,3,0.7912802601469349,0.9142502713599008,0.8332391181458451,0.8718669131238447
RF,wavelet,4,0.8543689320388349,0.9063984353171277,0.9244799088059276,0.9153498871331829
SVM,wavelet,0,0.5571480626746023,0.8905950095969289,0.5378151260504201,0.6706413730803975
SVM,wavelet,1,0.6478702807357212,0.9054865839006808,0.649712643678161,0.7565668395516145
SVM,wavelet,2,0.7750989564591579,0.9386068476977568,0.7864612775579424,0.8558246828143022
SVM,wavelet,3,0.5259544742864025,0.9023577652485905,0.4975975127190503,0.6414647476771725
SVM,wavelet,4,0.6030339805825242,0.9243488108720271,0.5815047021943573,0.7138983643838013
CNN,STFT,0,0.8383335357706789,0.8383335357706789,1.0,0.9120581433762801
CNN,STFT,1,0.8422071636011617,0.8422071636011617,1.0,0.9143457698370994
CNN,STFT,2,0.8487465515173324,0.8487465515173324,1.0,0.918185946927918
CNN,STFT,3,0.8522220884017825,0.8522220884017825,1.0,0.9202158787957605
CNN,STFT,4,0.8516990291262136,0.8516990291262136,1.0,0.9199108664307248
CNN,MFCC,0,0.8383335357706789,0.8383335357706789,1.0,0.9120581433762801
CNN,MFCC,1,0.8422071636011617,0.8422071636011617,1.0,0.9143457698370994
CNN,MFCC,2,0.8483867098476671,0.8487758041286606,0.9994347088750707,0.9179646936656283
CNN,MFCC,3,0.8522220884017825,0.8522220884017825,1.0,0.9202158787957605
CNN,MFCC,4,0.8516990291262136,0.8516990291262136,1.0,0.9199108664307248
CNN,Mel,0,0.8383335357706789,0.8383335357706789,1.0,0.9120581433762801
CNN,Mel,1,0.8422071636011617,0.8422071636011617,1.0,0.9143457698370994
CNN,Mel,2,0.8487465515173324,0.8487465515173324,1.0,0.918185946927918
CNN,Mel,3,0.8522220884017825,0.8522220884017825,1.0,0.9202158787957605
CNN,Mel,4,0.8516990291262136,0.8516990291262136,1.0,0.9199108664307248
CNN,GFCC,0,0.8383335357706789,0.8383335357706789,1.0,0.9120581433762801
CNN,GFCC,1,0.15779283639883834,0.0,0.0,0.0
CNN,GFCC,2,0.8487465515173324,0.8487465515173324,1.0,0.918185946927918
CNN,GFCC,3,0.8522220884017825,0.8522220884017825,1.0,0.9202158787957605
CNN,GFCC,4,0.1483009708737864,0.0,0.0,0.0
