model,feature,participant,accuracy,precision,recall,f1
RF,combined,22,0.6652649285113541,0.5930470347648262,1.0,0.7445442875481386
RF,combined,23,0.603448275862069,0.5021645021645021,1.0,0.6685878962536023
RF,combined,24,0.47745358090185674,0.2690166975881262,1.0,0.4239766081871345
RF,combined,25,0.5477011494252874,0.39877769289533993,1.0,0.570180229382851
RF,combined,26,0.5018472906403941,0.33415637860082303,1.0,0.5009253547193091
RF,combined,27,0.6587091069849691,0.575977653631285,0.9875478927203065,0.7275935074100212
RF,combined,28,0.6650862068965517,0.5903279599777654,0.9637023593466425,0.7321613236814891
RF,combined,29,0.6610597140454163,0.5930599369085173,0.9724137931034482,0.736773350751143
RF,combined,30,0.6663793103448276,0.5879828326180258,0.9945553539019963,0.7390424814565071
RF,combined,31,0.6661059714045416,0.59375,0.9991379310344828,0.7448586118251928
RF,combined,32,0.6616379310344828,0.58544474393531,0.985480943738657,0.7345282380791343
RF,combined,33,0.5841170323928945,0.46626180836707154,0.992816091954023,0.6345270890725436
RF,combined,34,0.6374773139745916,0.5537665324899368,0.9766734279918864,0.706788990825688
RF,combined,35,0.6677880571909167,0.5995694294940797,0.9603448275862069,0.7382372432074221
RF,combined,36,0.659051724137931,0.5824059353471118,0.9972776769509982,0.7353629976580797
RF,combined,37,0.6607758620689655,0.584631918323482,0.9872958257713249,0.7343908201147485
RF,combined,38,0.6424682395644283,0.5558690744920993,0.9989858012170385,0.7142857142857143
RF,combined,39,0.6202107279693486,0.5231509320505111,1.0,0.6869324911172523
RF,combined,40,0.6379310344827587,0.5528089887640449,0.9979716024340771,0.7114967462039046
RF,combined,41,0.6525198938992043,0.5706462212486308,0.9980842911877394,0.7261324041811846
SVM,combined,22,0.9062237174095878,0.8387563268257412,1.0,0.9123082972866693
SVM,combined,23,0.8911330049261084,0.7860600193610843,1.0,0.8802168021680217
SVM,combined,24,0.8494694960212201,0.5609284332688588,1.0,0.7187112763320942
SVM,combined,25,0.8701149425287357,0.6978609625668449,1.0,0.8220472440944881
SVM,combined,26,0.8596059113300493,0.6403785488958991,1.0,0.7807692307692308
SVM,combined,27,0.7904509283819628,0.7855711422845691,0.7509578544061303,0.7678746327130265
SVM,combined,28,0.8245689655172413,0.8067078552515445,0.8294010889292196,0.8178970917225951
SVM,combined,29,0.763246425567704,0.7895247332686712,0.7017241379310345,0.7430397078959379
