model,feature,participant,accuracy,macro_f1,weighted_f1
RF,combined,1,0.34236453201970446,0.2778931629652908,0.28373707236477236
RF,combined,2,0.13957307060755336,0.10677415038294243,0.1022356036963195
RF,combined,3,0.21399594320486814,0.20231601287802037,0.22460521940463005
RF,combined,4,0.26525198938992045,0.23657754088912383,0.23879693077401054
RF,combined,5,0.25969827586206895,0.2513952677147743,0.253655437304641
RF,combined,6,0.14503042596348883,0.11706453571146132,0.11156184469530173
RF,combined,7,0.2413793103448276,0.10348711920854149,0.11478667282369898
RF,combined,8,0.38275862068965516,0.2813437111304036,0.3528894729071998
RF,combined,9,0.29433497536945813,0.25649227890116794,0.25022933853551127
RF,combined,10,0.1851179673321234,0.16695431227845273,0.17868482034878982
RF,combined,11,0.46206896551724136,0.3828580846609144,0.4827499945665167
RF,combined,12,0.21786833855799373,0.18522847334672551,0.2047991385761366
RF,combined,13,0.19088669950738915,0.14682060651464507,0.17314526452335924
RF,combined,14,0.25646551724137934,0.21765822675531352,0.2176582267553135
RF,combined,15,0.15517241379310345,0.14821425952359774,0.1523022557018002
RF,combined,16,0.20833333333333334,0.14028251118255672,0.1655035914773752
RF,combined,17,0.11954022988505747,0.10030111567295516,0.09659742814554378
RF,combined,18,0.19770114942528735,0.14433932015421616,0.16649336453273694
RF,combined,19,0.3586206896551724,0.29571222345970544,0.39849252799123985
RF,combined,20,0.4766734279918864,0.4398383797800681,0.4681353903594268
RF,combined,21,0.47413793103448276,0.3353996430919508,0.3353996430919508
RF,combined,22,0.1413793103448276,0.12730843790056898,0.09989915338875706
RF,combined,23,0.4064039408866995,0.3714969358037891,0.38226888442031587
RF,combined,24,0.5724137931034483,0.4176529614411004,0.5274246214394404
RF,combined,25,0.39080459770114945,0.3569307814339493,0.37800213527366466
RF,combined,26,0.29310344827586204,0.23374565158778698,0.14234515049287486
RF,combined,27,0.382183908045977,0.3549881724402612,0.3677906269479186
RF,combined,28,0.3366606170598911,0.3298008946822883,0.32986560342496507
RF,combined,29,0.26982758620689656,0.22509839040103008,0.22509839040103008
RF,combined,30,0.2849364791288566,0.29579326980163845,0.28603063018804614
RF,combined,31,0.31810344827586207,0.2992652349071274,0.3037152105750625
RF,combined,32,0.25045372050816694,0.24639046224625819,0.2533750018104657
RF,combined,33,0.3994252873563218,0.34838368579992274,0.39645886718307843
RF,combined,34,0.1795131845841785,0.16734757927953592,0.18149145282730567
RF,combined,35,0.25517241379310346,0.2401838533531947,0.2401838533531947
RF,combined,36,0.3602540834845735,0.3469444890768549,0.34486725747055236
RF,combined,37,0.3911070780399274,0.36350561854175256,0.3553160047673829
RF,combined,38,0.2413793103448276,0.24813567672764197,0.24796279190388254
RF,combined,39,0.18869731800766285,0.18777975092063964,0.18271608478028045
RF,combined,40,0.2515212981744422,0.24096989530073717,0.25520147860106457
RF,combined,41,0.22509578544061304,0.2123663905087695,0.2237643002470814
SVM,combined,1,0.21674876847290642,0.1431726030839751,0.15339921758997332
SVM,combined,2,0.0960591133004926,0.04177329365888987,0.035079891885479525
SVM,combined,3,0.1389452332657201,0.06260063446205881,0.0704765327984012
SVM,combined,4,0.1896551724137931,0.09919470490899063,0.10770079341507914
SVM,combined,5,0.14655172413793102,0.11032458354857622,0.0985377892495932
SVM,combined,6,0.09330628803245436,0.04362039968409915,0.03699321519320078
SVM,combined,7,0.2536945812807882,0.24033858648145073,0.21710616737894545
SVM,combined,8,0.30114942528735633,0.22526363802225868,0.2929859514687101
SVM,combined,9,0.3103448275862069,0.2916562513019206,0.2996385124478488
SVM,combined,10,0.1424682395644283,0.10461068894166876,0.15682854663338652
SVM,combined,11,0.33793103448275863,0.30322504437548686,0.36072290541317087
SVM,combined,12,0.18025078369905956,0.1621131413254969,0.17816157575270583
SVM,combined,13,0.20566502463054187,0.1619615183836302,0.200186769950397
SVM,combined,14,0.15948275862068967,0.15616541772211276,0.15616541772211276
SVM,combined,15,0.1206896551724138,0.12314358489766068,0.10973219394726058
