model,feature,participant,num_classes,classes,accuracy,macro_f1,weighted_f1
RF,statistical,22,5,"2,4,5,9,10",0.23706896551724138,0.22121501860430234,0.17846739062225667
RF,statistical,23,3,"2,4,9",0.41502463054187194,0.38126552297510125,0.3876228024508095
RF,statistical,24,3,"4,9,10",0.5655172413793104,0.3049828178694158,0.4829896907216495
RF,statistical,25,3,"2,4,9",0.42528735632183906,0.3512073366628318,0.3806554627607383
RF,statistical,26,2,"8,10",0.2857142857142857,0.2222222222222222,0.12698412698412698
RF,statistical,27,4,"2,4,5,9",0.43103448275862066,0.4263859991028,0.4199281054193865
RF,statistical,28,4,"1,4,5,9",0.3684210526315789,0.34940939269272786,0.34354517688247366
RF,statistical,29,4,"1,2,4,5",0.33017241379310347,0.2804040532685457,0.2804040532685458
RF,statistical,30,4,"1,4,5,9",0.3139745916515426,0.3146731435301309,0.29918626242569385
RF,statistical,31,4,"1,2,8,10",0.2508620689655172,0.2218464032819133,0.23154337297888297
RF,statistical,32,4,"1,2,8,10",0.279491833030853,0.2552118737906409,0.260546911682456
RF,statistical,33,3,"8,9,10",0.46695402298850575,0.36819473649339013,0.44558945066901
RF,statistical,34,4,"2,8,9,10",0.4026369168356998,0.36787343764829183,0.3844093341040285
RF,statistical,35,4,"2,4,5,8",0.3612068965517241,0.3488163819744131,0.3488163819744131
RF,statistical,36,4,"4,8,9,10",0.34754990925589835,0.3365144580326451,0.33327408557266947
RF,statistical,37,4,"2,4,5,9",0.4764065335753176,0.43107941127532534,0.42163078604368887
RF,statistical,38,3,"1,2,10",0.38936781609195403,0.3957422982241237,0.4047760460124152
RF,statistical,39,3,"4,8,10",0.3275862068965517,0.32856608432124657,0.33285435331079805
RF,statistical,40,3,"4,8,10",0.3265720081135903,0.29192095065439305,0.32980865660184144
RF,statistical,41,3,"1,4,10",0.46419098143236076,0.38493140822652117,0.4130491533410706
SVM,statistical,22,5,"2,4,5,9,10",0.19051724137931034,0.10939091915836104,0.10966223698781839
SVM,statistical,23,3,"2,4,9",0.44704433497536944,0.3745296751611022,0.3813271462893896
SVM,statistical,24,3,"4,9,10",0.5448275862068965,0.37907249359885314,0.529283986956858
SVM,statistical,25,3,"2,4,9",0.43103448275862066,0.41033283626954614,0.43136741003571133
SVM,statistical,26,2,"8,10",0.2857142857142857,0.2222222222222222,0.12698412698412698
SVM,statistical,27,4,"2,4,5,9",0.5153256704980843,0.47178096110386897,0.4760980868633774
SVM,statistical,28,4,"1,4,5,9",0.4074410163339383,0.4075479821127545,0.3941040114126697
SVM,statistical,29,4,"1,2,4,5",0.31810344827586207,0.24081029797327763,0.24081029797327758
SVM,statistical,30,4,"1,4,5,9",0.2676950998185118,0.2851428975524624,0.26663241293611
SVM,statistical,31,4,"1,2,8,10",0.2603448275862069,0.22970231396704852,0.23712954598496064
SVM,statistical,32,4,"1,2,8,10",0.36932849364791287,0.3747866793490606,0.37302558759477905
SVM,statistical,33,3,"8,9,10",0.5775862068965517,0.5004650142644348,0.5508636768158751
SVM,statistical,34,4,"2,8,9,10",0.47058823529411764,0.40509185304960965,0.43650747383381516
SVM,statistical,35,4,"2,4,5,8",0.4387931034482759,0.4421750431752074,0.4421750431752074
SVM,statistical,36,4,"4,8,9,10",0.47368421052631576,0.46511250645588964,0.4687380902117607
SVM,statistical,37,4,"2,4,5,9",0.47368421052631576,0.44493946766323333,0.4376406108328628
SVM,statistical,38,3,"1,2,10",0.375,0.31821501131903457,0.3280141211772914
SVM,statistical,39,3,"4,8,10",0.2471264367816092,0.20641273266826987,0.1896298764847757
SVM,statistical,40,3,"4,8,10",0.2099391480730223,0.15933022956528323,0.13034373006569344
SVM,statistical,41,3,"1,4,10",0.3713527851458886,0.3717933975660723,0.3523757713258542
RF,wavelet_DWT,22,5,"2,4,5,9,10",0.19482758620689655,0.1771258526367016,0.13653560966337458
RF,wavelet_DWT,23,3,"2,4,9",0.3891625615763547,0.33900052432589534,0.34109503182382794
RF,wavelet_DWT,24,3,"4,9,10",0.5793103448275863,0.459127418765973,0.5622296980128305
RF,wavelet_DWT,25,3,"2,4,9",0.39080459770114945,0.3431915620594866,0.3597475119487698
RF,wavelet_DWT,26,2,"8,10",0.2857142857142857,0.2222222222222222,0.12698412698412698
RF,wavelet_DWT,27,4,"2,4,5,9",0.36015325670498083,0.3102610391112368,0.33120791785306514
RF,wavelet_DWT,28,4,"1,4,5,9",0.24047186932849365,0.21850302701193336,0.22797889483037517
RF,wavelet_DWT,29,4,"1,2,4,5",0.21551724137931033,0.20453116919006079,0.20453116919006079
RF,wavelet_DWT,30,4,"1,4,5,9",0.20508166969147004,0.20352924813157253,0.19421843052751342
RF,wavelet_DWT,31,4,"1,2,8,10",0.2629310344827586,0.24089643199295274,0.24955848504946948
RF,wavelet_DWT,32,4,"1,2,8,10",0.2849364791288566,0.28620172412751266,0.2862273787808403
RF,wavelet_DWT,33,3,"8,9,10",0.4813218390804598,0.38007553666129335,0.4636351621725155
RF,wavelet_DWT,34,4,"2,8,9,10",0.3265720081135903,0.26072335257101625,0.2806257413895862
RF,wavelet_DWT,35,4,"2,4,5,8",0.2896551724137931,0.2868367561915264,0.2868367561915263
RF,wavelet_DWT,36,4,"4,8,9,10",0.29219600725952816,0.26168463669488673,0.2691128836153818
RF,wavelet_DWT,37,4,"2,4,5,9",0.29219600725952816,0.24924715476421233,0.2492075313307498
RF,wavelet_DWT,38,3,"1,2,10",0.26436781609195403,0.22119828599993996,0.19663230052169192
RF,wavelet_DWT,39,3,"4,8,10",0.2686781609195402,0.25281994450314854,0.23619880930903842
RF,wavelet_DWT,40,3,"4,8,10",0.2920892494929006,0.2527685887513043,0.29337593323036165
RF,wavelet_DWT,41,3,"1,4,10",0.376657824933687,0.2701259257308797,0.27671872549367243
SVM,wavelet_DWT,22,5,"2,4,5,9,10",0.13275862068965516,0.0701819643676367,0.059156543083755446
SVM,wavelet_DWT,23,3,"2,4,9",0.3620689655172414,0.2772461416962819,0.2892483648842416
SVM,wavelet_DWT,24,3,"4,9,10",0.25517241379310346,0.30145526508837567,0.2450241024492518
