model,feature,accuracy,acc_std,precision,recall,f1,f1_std
RF,wavelet_DWT,0.9677,0.0263,0.9693,0.9972,0.9828,0.0142
RF,statistical,0.9637,0.0387,0.9744,0.9876,0.9803,0.0215
kNN,statistical,0.9609,0.0478,0.9759,0.9829,0.9785,0.0273
CNN,wavelet_CWT,0.9462,0.0464,0.9462,1.0,0.9718,0.0252
CNN,MFCC,0.9462,0.0464,0.9462,1.0,0.9718,0.0252
CNN,mel_spectrogram,0.9462,0.0464,0.9462,1.0,0.9718,0.0252
CNN,STFT,0.9462,0.0464,0.9462,1.0,0.9718,0.0252
kNN,wavelet_DWT,0.9412,0.055,0.961,0.9781,0.9685,0.0303
SVM,wavelet_DWT,0.9236,0.1128,0.9837,0.9348,0.9547,0.0706
SVM,statistical,0.903,0.1488,0.9984,0.8998,0.9382,0.1014
