participant,n_test,accuracy,macro_f1,weighted_f1,f1_Tortilla,f1_Mandarin,f1_Chicken,f1_Cheeze_It,f1_Carrots,f1_Noodles,f1_Water,f1_Coke
22,1160,0.1052,0.0609,0.0802,0.0,0.1562,0.0,0.1495,0.0,0.0,0.1664,0.015
23,812,0.2488,0.1259,0.3007,0.0,0.1971,0.0,0.2907,0.0,0.0,0.3937,0.0
24,290,0.3172,0.1566,0.3864,0.0,0.0,0.0,0.4961,0.0,0.0,0.2987,0.1449
25,522,0.295,0.1728,0.3622,0.0,0.2953,0.0,0.4455,0.0,0.0,0.2958,0.0
26,406,0.0443,0.0367,0.0735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571
27,1044,0.1054,0.0634,0.1375,0.0,0.2043,0.0,0.1676,0.1039,0.0,0.0317,0.0
28,1102,0.1488,0.1033,0.2016,0.3108,0.0,0.0,0.1503,0.0647,0.0,0.3003,0.0
29,1160,0.1155,0.0739,0.1478,0.0984,0.103,0.0,0.1916,0.1983,0.0,0.0,0.0
30,1102,0.1851,0.1173,0.2346,0.3345,0.0,0.0,0.24,0.1285,0.0,0.2357,0.0
31,1160,0.1983,0.1048,0.216,0.3843,0.2561,0.0,0.0,0.0,0.1623,0.0,0.0361
32,1102,0.1597,0.0953,0.1975,0.4017,0.0917,0.0,0.0,0.0,0.2091,0.0,0.0599
33,696,0.1638,0.078,0.2402,0.0,0.0,0.0,0.0,0.0,0.2555,0.0615,0.3067
34,986,0.141,0.0768,0.168,0.0,0.2867,0.0,0.0,0.0,0.1463,0.1373,0.0441
35,1160,0.1603,0.0995,0.199,0.0,0.1946,0.0,0.228,0.1617,0.2116,0.0,0.0
36,1102,0.2269,0.1353,0.2776,0.0,0.0,0.0,0.4088,0.0,0.3117,0.1387,0.2235
37,1102,0.2178,0.1399,0.2733,0.0,0.3154,0.0,0.203,0.1985,0.0,0.4021,0.0
38,986,0.0933,0.0695,0.1215,0.0422,0.2555,0.0282,0.0,0.0,0.0,0.0,0.2305
39,1044,0.1456,0.0913,0.1862,0.0,0.0,0.1302,0.1864,0.0,0.2923,0.0,0.1212
40,986,0.1166,0.0647,0.1679,0.0,0.0,0.0,0.1559,0.0,0.1831,0.0,0.1782
41,1044,0.2126,0.1246,0.2505,0.1802,0.0,0.1456,0.4337,0.0,0.0,0.0,0.2372
