condition,RF_acc,RF_prec,RF_rec,RF_f1,CNN_acc,CNN_prec,CNN_rec,CNN_f1,3c_acc,3c_macro_f1,3c_wtd_f1,3c_f1_idle,3c_f1_carrots,3c_f1_yogurt
home,0.8204,0.8321,0.9828,0.9012,0.8305,0.8329,0.9966,0.9074,0.1667,0.0952,0.0476,0.2857,0.0,0.0
angle_60,0.7859,0.8331,0.9293,0.8786,0.8017,0.8318,0.9552,0.8892,0.1667,0.0952,0.0476,0.2857,0.0,0.0
angle_90,0.7787,0.8339,0.9172,0.8736,0.8333,0.8333,1.0,0.9091,0.1667,0.0952,0.0476,0.2857,0.0,0.0
angle_180,0.7629,0.8237,0.9103,0.8649,0.829,0.8326,0.9948,0.9065,0.1667,0.0952,0.0476,0.2857,0.0,0.0
dist_15cm,0.7945,0.8296,0.9483,0.885,0.8376,0.8379,0.9983,0.9111,0.1667,0.0952,0.0476,0.2857,0.0,0.0
dist_20cm,0.7562,0.7547,0.9759,0.8511,0.7315,0.7268,1.0,0.8418,0.2857,0.2222,0.127,0.4444,0.0,0.0
dist_50cm,0.8333,0.8333,1.0,0.9091,0.7773,0.8234,0.9328,0.8747,0.1667,0.0952,0.0476,0.2857,0.0,0.0
noise_60db,0.8233,0.8316,0.9879,0.9031,0.8333,0.8333,1.0,0.9091,0.1667,0.0952,0.0476,0.2857,0.0,0.0
noise_70db,0.8333,0.8353,0.9966,0.9088,0.7989,0.8274,0.9586,0.8882,0.1667,0.0952,0.0476,0.2857,0.0,0.0
samsung,0.829,0.8326,0.9948,0.9065,0.8319,0.8545,0.9621,0.9051,0.1667,0.0952,0.0476,0.2857,0.0,0.0
